"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Ti', 228, 'O', 574, 2.101]"
"['Ti', 229, 'O', 261, 1.87]"
"['Ti', 229, 'O', 560, 2.199]"
"['Ti', 229, 'O', 561, 1.896]"
"['Ti', 229, 'O', 562, 1.794]"
"['Ti', 229, 'O', 563, 2.165]"
"['Ti', 229, 'O', 577, 1.93]"
"['Ti', 230, 'O', 264, 1.981]"
"['Ti', 230, 'O', 551, 1.794]"
"['Ti', 230, 'O', 563, 2.189]"
"['Ti', 230, 'O', 564, 1.938]"
"['Ti', 230, 'O', 565, 1.674]"
"['Ti', 230, 'O', 580, 2.198]"
"['Ti', 231, 'O', 267, 2.192]"
"['Ti', 231, 'O', 566, 2.183]"
"['Ti', 231, 'O', 567, 1.968]"
"['Ti', 231, 'O', 568, 1.86]"
"['Ti', 231, 'O', 569, 1.774]"
"['Ti', 231, 'O', 583, 1.843]"
"['Ti', 232, 'O', 270, 1.824]"
"['Ti', 232, 'O', 569, 1.93]"
"['Ti', 232, 'O', 570, 2.176]"
"['Ti', 232, 'O', 571, 2.108]"
"['Ti', 232, 'O', 572, 2.139]"
"['Ti', 232, 'O', 586, 1.781]"
"['Ti', 233, 'O', 273, 2.097]"
"['Ti', 233, 'O', 572, 1.814]"
"['Ti', 233, 'O', 573, 2.068]"
"['Ti', 233, 'O', 574, 2.199]"
"['Ti', 233, 'O', 575, 2.046]"
"['Ti', 233, 'O', 589, 1.914]"
"['Ti', 234, 'O', 276, 2.11]"
"['Ti', 234, 'O', 575, 2.198]"
"['Ti', 234, 'O', 576, 2.102]"
"['Ti', 234, 'O', 577, 2.195]"
"['Ti', 234, 'O', 578, 2.099]"
"['Ti', 234, 'O', 592, 1.647]"
"['Ti', 235, 'O', 578, 2.144]"
"['Ti', 235, 'O', 579, 1.713]"
"['Ti', 235, 'O', 580, 2.186]"
"['Ti', 235, 'O', 595, 1.908]"
"['Ti', 236, 'O', 582, 1.99]"
"['Ti', 236, 'O', 583, 2.188]"
"['Ti', 236, 'O', 584, 1.87]"
"['Ti', 236, 'O', 598, 2.178]"
